NPO,服務項目,服務對象,網站,電子郵件,聯絡電話,所在縣市,聯絡人
中華民國家庭照顧者關懷總會,專業訓練、心理層面之支持、重建、諮商、志工培訓、管理、照顧者支持與訓練、諮詢服務和轉介,其他、組織專業,http://www.familycare.org.tw,takecare@ms17.hinet.net,02-25855171,台北市,袁慧文
中華民國幸福家庭促進協會,權益倡導、輔導諮商、自殺防治、專業訓練、安親課輔、親職教育、資訊提供、宣導防治,組織專業、家庭、老人、婦女、青少年、兒童,http://www.fwa.org.tw,fwa.fwa@msa.hinet.net,04-23580655,台中市,林淑芳
中華民國弘道志工協會,生活層面之支持與重建、心理層面之支持、重建、諮商、社區居住/照顧、志工培訓、管理,組織專業、老人、身心障礙,http://hondao.org.tw/,elma@hondao.org.tw,04-22060698分機29,台中市,李幸娟
中華民國弘道志工協會(南部服務處),社會教育、推廣教育、在宅服務、居家照顧、志願服務、送餐服務、康樂休閒、資訊提供、宣導防治、關懷訪視,老人,http://home.kimo.com.tw/hondao99/,hondao.south@msa.hinet.net,07-3133353 3156480,高雄市,蔡美華
中華民國心智障礙者體育運動總會,社會教育、推廣教育、社區發展、權益倡導、志願服務、專業訓練、親職教育、康樂休閒、資訊提供、宣導防治、健康維護,組織專業、家庭、婦女、青少年、兒童、身心障礙,,papmh@aptg.net,02-27097016,台北市,林筱婷
中華民國思樂醫之友協會,疾病或藥酒毒癮服務,疾病患者,http://www.sle.org.tw,taiwan.sle@msa.hinet.net,02-28734790,台北市,陳佩伶
中華民國新女性聯合會,生活層面之支持與重建、心理層面之支持、重建、諮商、性別及婚姻輔導,其他、婦女、青少年、兒童,http://www.womenweb.org.tw/TNOW,newwomen@seed.net.tw,05-5342433分機119,雲林縣,陳慧莉
中華民國智障者家長總會,專業訓練、休閒/體育及文化活動、志工培訓、管理、諮詢服務和轉介、社會網絡與倡導,組織專業、家庭、身心障礙,http://www.papmh.org.tw,papmh@papmh.org.tw,02-27017271,台北市,林惠芳
中華民國更生少年關懷協會,生活層面之支持與重建、心理層面之支持、重建、諮商、職前準備及訓練、住宿服務、其他,受刑人、家庭、青少年、兒童,http://www.616.org.tw,hope.taipei@msa.hinet.net,02-27693258,台北市,江元凱
中華民國無喉者復聲協會,復康復健、其他,身心障礙,http://laryng.myweb.hinet.net/,larynge.ctomees@msa.hinet.net,02-28739929,新北市,王秀齡
中華民國癌友新生命協會,日間照顧,疾病患者、家庭、老人,http://www.love-newlife.org.tw,jenny95616155@yahoo.com.tw,02-26955598分機103,新北市,鄭彩怡
中華民國癌症希望協會,心理層面之支持、重建、諮商、教育輔導、諮詢服務和轉介、社會網絡與倡導、其他,其他、社區居民、家庭、青少年、兒童,http://www.ecancer.org.tw,hope@ecancer.org.tw,02-33226286分機36,台北市,江依凌
中華民國發展遲緩兒童家長支援協會,教育輔導、休閒/體育及文化活動、諮詢服務和轉介,家庭、兒童、身心障礙,http://tapcdd.org.tw,mail@tapcdd.org.tw,02-27686226,台北市,席行蕙
中華民國發展遲緩兒童早期療育協會,專業訓練、到宅服務、諮詢服務、社會宣導、其他,組織專業、家庭、兒童,http://www.caeip.org.tw,caeip@caeip.org.tw,03-8239335分機1,花蓮縣,張淑慧
中華民國白浪青少年發展協會,社區發展、輔導諮商、自殺防治、親職教育、關懷訪視、其他,家庭、青少年,,crock@ms62.hinet.net,22114102,新北市,蔡明珠
中華民國社區營造學會,社區營造/文化產業、志工培訓、管理、社會網絡與倡導,社區居民,https://www.unitedway.org.tw/%E7%A4%BE%E5%8D%80%E7%87%9F%E9%80%A0%E5%AD%B8%E6%9C...,scarlett5486@gmail.com,02-23223120,台北市,林樂昕
中華民國社區重聽福利協會,生活層面之支持與重建、心理層面之支持、重建、諮商、輔助科技及無障礙環境協助、照顧者支持與訓練、社會網絡與倡導,其他、社區居民、家庭、老人、身心障礙,http://www.hear-loss.org.tw/,tw.hearhard@gmail.com,02-25506658,台北市,張思惇
中華民國紅十字會台灣省分會,職業訓練、在宅服務、居家照顧、社區發展、權益倡導、志願服務、送餐服務、問安服務、康樂休閒、資訊提供、宣導防治、關懷訪視、健康維護,社區居民、老人、青少年,,rct@seed.net.tw,23637794,台北市,廖淑慎
中華民國紅十字會台灣省台中縣支會,專業訓練、職前準備及訓練、其他,其他、社區居民、組織專業、婦女、青少年,,tch@mail.redcross.org.tw,04-25263793,台中市,廖伊玲
中華民國紅十字會台灣省嘉義縣支會,生活層面之支持與重建、教育輔導、到宅服務、志工培訓、管理、諮詢服務和轉介,其他、青少年、兒童,http://chiayi-rc.blogspot.com,betty3621207@yahoo.com.tw,05-3623686,嘉義縣,許美智
中華民國紅十字會新高雄分會,,,http://www.facebook.com/NKSREDCROSS,tg7632@gmail.com,07-7336511分機13,高雄市,林坤鋒
中華民國紅十字會總會,緊急生活重建,,http://www.redcross.org.tw,marian@redcross.org.tw（梁文璿）,23628232.24,台北市,梁文璿
中華民國紅心字會,日間照顧、到宅服務、性別及婚姻支持服務、其他,受刑人、家庭、老人、婦女,http://www.redheart.org.tw//index.php,rhfamily0505@gmail.com,02-23310505,台北市,王品宜
中華民國老人福利推動聯盟,專業訓練、教育輔導、諮詢服務、社會宣導、其他,其他、組織專業、老人、身心障礙,https://www.unitedway.org.tw/old%40oldpeople.org.tw,old@missingoldman.org.tw,02-25971700,台北市,洪詠寧
中華民國老人福利機構協會,社會教育、推廣教育、權益倡導、資訊提供,組織專業,http://www.taosci.org.tw,taoscinew@yahoo.com.tw,02-29544456,新北市,黃慧蘭
中華民國聲暉聯合會,專業訓練、教育輔導、輔助科技及無障礙環境協助、諮詢服務和轉介、社會網絡與倡導,組織專業、身心障礙,http://www.soundhome.org.tw,soundhome@soundhome.org.tw,04-25312684,台中市,傅佳慧
中華民國腦性麻痺協會,心理層面之支持、重建、諮商、復康復健、休閒/體育及文化活動、就業服務,身心障礙,http://www.cplink.org.tw/,cp.cp@msa.hinet.net,02-28926222,台北市,林芝宇
中華民國自閉症總會,日間照顧、專業訓練、教育輔導、職前準備及訓練,其他、組織專業、身心障礙,http://www.autism.org.tw,autism@seed.net.tw,02-23944258,台北市,賴俐君 / 廖宜珊
中華民國觀護協會,志願服務,青少年,http://www.pbaroc.org.tw/,yu6264@ms48.hinet.net,02-23759852,台北市,許智甯
中華民國運動神經元疾病病友協會,生活層面之支持與重建、心理層面之支持、重建、諮商、復康復健、到宅服務、輔助科技及無障礙環境協助,疾病患者、家庭、身心障礙,http://www.mnda.org.tw/,mnda@mnda.org.tw,02-25851367,台北市,林韻茹
中華民國醫務社會工作協會,專業訓練、教育輔導、就業準備及訓練、諮詢服務、社會宣導,組織專業,http://www.mswa.org.tw/,mswa0209@mswa.org.tw,02-27657068,台北市,蔡宜庭
中華民國關愛社會福利協會,社會教育、推廣教育、社區發展、權益倡導、輔導諮商、自殺防治、資訊提供、法律諮詢、宣導防治,勞工、社區居民、原住民、家庭、老人、青少年、兒童、身心障礙,,sexice.wisdom@msa.hinet.net,,台中市,劉豐田
中華民國關懷腦瘤兒童協會,生活層面之支持與重建、心理層面之支持、重建、諮商、就業服務、照顧者支持與訓練、社會網絡與倡導,家庭、青少年、兒童,http://www.cbta.org.tw,cbta.taiwan@msa.hinet.net,02-28221206,台北市,呂賴艷
中華民國關懷魚鱗癬症協會,職業訓練、就業輔導、社會教育、推廣教育、權益倡導、親職教育、關懷訪視、健康維護,其他、身心障礙,http://www.taifish.org.tw/,tai.fish105@msa.hinet.net,02-27482908,台北市,劉冠讌
中華民國障礙科技發展協會,生活層面之支持與重建、心理層面之支持、重建、諮商、輔助科技及無障礙環境協助、就業服務,身心障礙,http://www.twacc.org,nevelope@twacc.org,07-2298218,台北市,楊碧珠
中華民國類風濕性關節炎之友協會,心理層面之支持、重建、諮商、疾病或藥酒毒癮服務、休閒/體育及文化活動、志工培訓、管理,其他、疾病患者,http://www.raag.org.tw/,raaga@ms63.hinet.net,02-28227495,台北市,紀芳郁
中華社會福利聯合勸募協會,休閒/體育及文化活動、就業服務、其他,原住民、組織專業、婦女、青少年、身心障礙,http://www.unitedway.org.tw,project@unitedway.org.tw,02-23782256分機109,台北市,朱紫碧
中華飛揚關懷協會,教育輔導、休閒/體育及文化活動、志工培訓、管理、其他,組織專業、家庭、青少年、兒童,http://www.sunnyyoung.org.tw/,anfieldheros@gmail.com,03-8235375分機33,花蓮縣,彭康明
中華骨髓移植關懷協會,生活層面之支持與重建、心理層面之支持、重建、諮商、諮詢服務和轉介、其他,其他,http://www.tbmtsa.org.tw,tbmtsa@hotmail.com,02-28748538,台北市,何詠恩
伊甸基金會附設台北市私立八德服務中心,權益倡導、輔導諮商、自殺防治、志願服務、康樂休閒、資訊提供、其他,身心障礙,http://www.eden.org.tw,eden866q@mail.eden.org.tw,02-25702560,台北市,鄭芬芳主任
伊甸基金會高雄市事務所辦理鳳山區兒童早期療育發展中心,社會教育、推廣教育、在宅服務、居家照顧、經濟扶助、權益倡導、早期療育、志願服務、專業訓練、輔具服務、親職教育、資訊提供、宣導防治、關懷訪視,社區居民、家庭、兒童、身心障礙,http://south.eden.org.tw,eden1073r@eden.org.tw,07-742-2971轉29,高雄市,王序瑋
伊甸社會福利基金會附設南投服務中心,職業訓練、日間照顧、輔導諮商、自殺防治、早期療育、安親課輔,老人、婦女、兒童、身心障礙,http://www.eden.org.tw,eden8064@yahoo.com.tw,049-2204002,南投縣,葉釧銘
伊甸社會福利基金會高雄市事務所,經濟扶助、權益倡導、早期療育、志願服務、其他,家庭、婦女、兒童、身心障礙,http://www.eden.org.tw,keric@eden.org.tw,07-7998020*10,高雄市,李澄權
兒童福利聯盟中區辦事處,收容安置、社區發展、經濟扶助、權益倡導、輔導諮商、自殺防治、志願服務、專業訓練、托育服務、親職教育、康樂休閒、資訊提供、法律諮詢、宣導防治、關懷訪視,社區居民、組織專業、家庭、青少年、兒童,http://www.children.org.tw,family@cwlf.org.tw,04-22022210,台中市,林武雄
南投縣信義鄉布農文化協會,就業輔導、社會教育、推廣教育、權益倡導、輔導諮商、自殺防治、志願服務、宣導防治、關懷訪視,社區居民、原住民,,belin@mail.shini.gov.tw,049-2792800.2792065,南投縣,全美益.王國慶(隊長)
南投縣埔里鎮鄉情展望會,,,,inin.inin@msa.hinet.net,049-2995645,南投縣,邱虹雅
南投縣生命線協會,心理層面之支持、重建、諮商、志工培訓、管理、自殺防治,其他、社區居民、組織專業、家庭、老人、婦女、青少年、兒童,,nat935@ms33.hinet.net,04-92230530分機12,南投縣,向桂蘭
台中市北區居家服務支援中心,醫療協助、在宅服務、居家照顧、志願服務、專業訓練、問安服務、關懷訪視,其他、社區居民、組織專業、老人、身心障礙,http://www.lkk.org.tw,north.old@msa.hinet.net,04-22925995,台中市,周姿吟
台中市原住民婦女會,就業輔導、權益倡導、安親課輔、宣導防治、關懷訪視、健康維護、其他,勞工、原住民、家庭、婦女、青少年、兒童,,sh2003416@yahoo.com.tw,04-23830800.0933-455880,台中市,黃秀美
台中市基督教女青年會,生活層面之支持與重建、教育輔導、休閒/體育及文化活動、志工培訓、管理、諮詢服務和轉介,受刑人、疾病患者、家庭、婦女、兒童,http://www.ywca-taichung.org.tw,ywcatc@seed.net.tw,04-22358271,台中市,陳映儒
台中市家庭照顧者關懷協會,專業訓練、生活層面之支持與重建、社會宣導、志工培訓、管理,家庭、婦女,,famiycare@ms96.url.com.tw,04-22126765,台中市,高超群
台中市山海屯聲暉協進會,教育輔導、到宅服務、照顧者支持與訓練、諮詢服務和轉介、社會網絡與倡導,其他、家庭、身心障礙,http://www.soundhome.org.tw,erin.gemini@msa.hinet.net,04-25314712,台中市,林筱怡
台中市搜救暨保護協會,就業輔導、醫療協助、社會教育、推廣教育、社區發展、輔導諮商、自殺防治、志願服務、專業訓練、更生保護、關懷訪視、其他,受刑人、遊民、社區居民、青少年、兒童,,tc.rp9795@msa.hinet.net,-,,曾莉
台中市沐風關懷協會,心理層面之支持、重建、諮商、教育輔導,家庭、兒童,http://www.wbc.org.tw,megan@wbc.org.tw，mei1030m@gmail.com,04-23750530分機225,台中市,謝靜雯
台中市磐頂社區關懷協會,日間照顧、心理層面之支持、重建、諮商、教育輔導、社區居住/照顧、志工培訓、管理,社區居民、原住民、老人、婦女、兒童,http://www.panding.url.tw/,service.058@gmail.com,04-26330130分機12,台中市,賴佩君
台中市親子關懷協會,教育輔導、社區營造/文化產業,家庭、兒童,,watersource@mail2000.com.tw,04-22274439,台中市,郭晨嫈
台中市霧峰區舊正社區發展協會,心理層面之支持、重建、諮商、教育輔導、社區居住/照顧、志工培訓、管理,社區居民、家庭、老人、婦女、兒童,,s3302416@yahoo.com.tw,04-23395980,台中市,張玉盆
台中縣東勢鎮兒童少年福利協會,安親課輔,青少年,https://www.unitedway.org.tw/%E8%AB%8B%E5%A1%AB%E7%B6%B2%E5%9D%80,sungn@ms67.hinet.net,-,,宋松蔚
台中縣東勢鎮愛鄉協進會,休閒/體育及文化活動、諮詢服務、社區營造/文化產業、志工培訓、管理、其他,社區居民、老人、婦女,http://www.hakkadress.org.tw/about01.php,yang41721@yahoo.com.tw,04-25875041,台中市,楊晴子
台中縣石岡鄉社區文化發展協會,職業訓練、社會教育、推廣教育、關懷訪視,婦女、兒童,,ril403@yahoo.com.tw,04-25722764,台中市,陳秀柑
台北基督教女青年會,社會教育、推廣教育、社區發展、志願服務、專業訓練、托育服務、安親課輔、親職教育、康樂休閒、資訊提供、宣導防治、健康維護,其他、社區居民、組織專業、老人、婦女、兒童,http://www.ywca-taipei.org.tw,melody@ywca-taipei.org.tw,02-23812131分機214,台北市,陳梅容
台北市一壽重殘照顧中心,收容安置、安養服務、緊急庇護、康樂休閒、資訊提供、宣導防治、健康維護,疾病患者、身心障礙,http://www.tpmra.org.tw,bshow@ms51.hinet.net,02-29383438,台北市,何承謙
台北市一葉蘭喪偶家庭成長協會,生活層面之支持與重建、心理層面之支持、重建、諮商、休閒/體育及文化活動、諮詢服務和轉介、社會網絡與倡導,社區居民、家庭、婦女、兒童,http://www.singleleaf.org.tw/,singleorchid@outlook.com,02-23118572分機0,台北市,林鈺翎、何岱芸
台北市信義老人服務中心,日間照顧、問安服務、康樂休閒、資訊提供、關懷訪視、其他,老人,http://www.redheart.org.tw,crt37@yahoo.com.tw,02-87870300,台北市,趙健伶
台北市博愛發展中心,職業訓練、就業輔導、日間照顧、早期療育、專業訓練、親職教育,組織專業、兒童、身心障礙,http://www.diyi.org.tw,paoai.ss@msa.hinet.net,27976606,台北市,黃琡雅
台北市單親家庭服務中心,其他,受刑人,http://www.redheart.org.tw/singleparent.html,singleparent@pchome.com.tw/singleparent@vip.pchome.com.tw,02-25580170,台北市,簡蕙蘭主任
台北市城中發展中心,職業訓練、日間照顧、在宅服務、居家照顧、早期療育,身心障礙,,cdc172@ms37.hinet.net,(02)2364-3036,台北市,李青瑛 社工員
台北市基督教美門協會,醫療協助、社會教育、推廣教育、社區發展、志願服務、康樂休閒、宣導防治、關懷訪視,社區居民、家庭、老人、婦女、青少年、兒童、身心障礙,http://www.bfgate.org.tw,abrahamh@ms47.hinet.net,02-27883171,台北市,謝清桂
台北市大同兒童發展中心,專業訓練、托育服務、輔助科技及無障礙環境協助,身心障礙,http://www.syinlu.org.tw,syinlu.daton@msa.hinet.net,(02)25857501,台北市,何麗君
台北市女性權益促進會,專業訓練、教育輔導、性別及婚姻支持服務、諮詢服務和轉介、社會網絡與倡導,其他、組織專業、婦女、青少年,http://www.tapwr.org.tw,info@tapwr.org.tw,02-33221350,台北市,秦季芳
台北市婦女新知協會,專業訓練、教育輔導、志工培訓、管理、職前準備及訓練、諮詢服務和轉介,婦女,http://w_awakening.womenweb.org.tw,wawaken@ms63.hinet.net,02-23114678,台北市,林明珠
台北市學習障礙者家長協會,心理層面之支持、重建、諮商、教育輔導、照顧者支持與訓練、諮詢服務和轉介、社會網絡與倡導,其他、組織專業、家庭、身心障礙,http://www.tppald.org.tw,tppald@gmail.com,02-27360297分機807,台北市,莊佳倩
台北市希望家園,就業輔導、收容安置、經濟扶助、權益倡導、輔導諮商、自殺防治、康樂休閒、資訊提供、法律諮詢、更生保護、宣導防治、緊急生活重建,青少年,http://www.bornanew.org.tw,hope.taipei@msa.hinet.net,02-27420995,新北市,江元凱
台北市康復之友協會,生活層面之支持與重建、心理層面之支持、重建、諮商、復康復健、就業服務、諮詢服務和轉介,身心障礙,http://www.tpmra.org.tw/,tpmra@ms9.hinet.net,02-27652947分機272,台北市,陳馨傑
台北市康復之友協會社區復健中心,職業訓練、就業輔導、社會教育、推廣教育、安養服務、在宅服務、居家照顧、權益倡導、輔導諮商、自殺防治、志願服務、專業訓練、親職教育、康樂休閒、關懷訪視,家庭、青少年、身心障礙,http://www.tpmra.org.tw,tpmra@ms9.hinet.net,02-27652947-8,台北市,林瓊瑤
台北市弘愛服務中心,職業訓練、醫療協助、社會教育、推廣教育、收容安置、日間照顧、社區發展、志願服務、專業訓練、輔具服務、親職教育、康樂休閒、資訊提供、宣導防治、其他,其他、社區居民、家庭、身心障礙,,hungai@ms32.hinet.net,02-23937655,台北市,廖嘉雯
台北市彩虹全人關懷發展協會,生活層面之支持與重建、心理層面之支持、重建、諮商、教育輔導、休閒/體育及文化活動、志工培訓、管理,其他、社區居民、家庭、老人、婦女、青少年、兒童,,joyce32@ms14.hinet.tw 或 joy99018538@gmail.com,02-26579428分機206,台北市,張來有
台北市愛網全人關懷協會,其他,其他、家庭、青少年、兒童,,tplovenet@love-net.org.tw,2363-8891*503,台北市,黃慈惠
台北市政府社會局委託天主教耕莘醫院辦理台北市至善老人安養護中心,收容安置、安養服務、社區發展、送餐服務、康樂休閒,社區居民、老人,,zhi.shan@msa.hinet.net,02-2883-2666分機155,台北市,盧佳慧
台北市智障者家長協會,生活層面之支持與重建、休閒/體育及文化活動,身心障礙,http://www.taomrp.org.tw,taomrp@ms29.hinet.net,02-27555690分機212,台北市,胡宜庭
台北市松德第二團體家庭(公設民營),收容安置,身心障礙,,shungde2@yahoo.com.tw,27266585,台北市,許惠婷
台北市永明發展中心,收容安置、日間照顧、在宅服務、居家照顧、早期療育,兒童、身心障礙,,yume2@ms41.hinet.net,2828-3051~3,台北市,詹美慧
台北市瞽者福利協進會,職業訓練、就業輔導、醫療協助、輔導諮商、自殺防治,身心障礙,http://www.taipeiblind.myweb.hinet.net,taipei.blind@msa.hinet.net,02-2375-9415,台北市,蕭麗芬
台北市社區銀髮族服務協會,專業訓練、照顧者支持與訓練、其他,其他、組織專業、老人,http://www.elderly-service.org.tw,elderlyservice9@gmail.com,02-29303640,台北市,黃傳智
台北市社會福利聯盟,專業訓練、其他,其他,http://www.ltsw.org.tw,ltswltsw@gmail.com,02-27549694,台北市,張競懌
台北市私立心路兒童發展中心,早期療育、專業訓練、輔具服務、安親課輔、親職教育,家庭、兒童、身心障礙,,cpsyinlu@ms81.url.com.tw,(02)25080635,台北市,張馨云
台北市第一兒童發展中心,日間照顧、早期療育、專業訓練、輔具服務、安親課輔、親職教育,老人、兒童、身心障礙,http://www.diyi.org.tw,diyi.@ms2.hinet.net,27224136*18,台北市,黃琡雅
台北市聽障者聲暉協會,心理層面之支持、重建、諮商、教育輔導、就業準備及訓練、諮詢服務、社會宣導,身心障礙,http://www.shanhwetaipei.org.tw,shanhwe@ms37.hinet.net,02-25962341,台北市,傅鳳雲
台北市自閉症家長協會,生活層面之支持與重建、心理層面之支持、重建、諮商、休閒/體育及文化活動、就業服務、照顧者支持與訓練,家庭、身心障礙,http://www.tpaa.org.tw,tpaa01@gmail.com,02-25953937,台北市,蔡子琦
台北市萬芳發展中心,職業訓練、就業輔導、日間照顧、輔導諮商、自殺防治、早期療育、志願服務、輔具服務,身心障礙,,syinlu.wanfang@msa.hinet.net,(02)22396217,台北市,呂錦綸
台北市蘭心家園,收容安置、輔導諮商、自殺防治、緊急庇護,婦女,http://www.goh.org.tw,lanxin@mail2000.com.tw,02-2367-9595,台北市,劉淑翎
台北市鵬程啟能中心,安養服務,身心障礙,,punchan399@yahoo.com.tw,27606277,台北市,社工員 林怡君
台北市龍山啟能中心,職業訓練、就業輔導、社會教育、推廣教育、收容安置、日間照顧、專業訓練、親職教育,身心障礙,http://www.kjswf.org.tw,longson.vtc@msa.hinet.net,02-23366436,台北市,張玉貞 主任
台北市龍山婦女服務中心,社會教育、推廣教育、經濟扶助、權益倡導、志願服務、法律諮詢、宣導防治、其他,婦女,http://www.goh.org.tw,lsgoh@edirect168168.com,02-2304-9595,台北市,盧宥亦
台北市龍山老人服務中心,社會教育、推廣教育、日間照顧、社區發展、志願服務、專業訓練、輔具服務、問安服務、康樂休閒、資訊提供、關懷訪視,老人,http://www.lishin.org.tw,lishinc.old@msa.hinet.net,23361881,台北市,黃素鈴
台北縣友好潛能發展中心,職業訓練、就業輔導、日間照顧、托育服務、資訊提供,身心障礙,http://www.tacocity.com.tw/goodwill,gwpotent@ms17.hinet.net,02-29129222,新北市,主任 張大同
台北縣愛兒兒童發展中心,日間照顧、早期療育、專業訓練、托育服務、親職教育、資訊提供,家庭、兒童、身心障礙,,ir.love@msa.hinet.net,02-29156786,新北市,楊碧雲
台北縣愛智發展中心,職業訓練、日間照顧、早期療育、專業訓練、親職教育,兒童、身心障礙,http://www.diyi.org.tw,aichi01@ms43.hinet.net,29688525,新北市,黃琡雅
台北縣慈佑庇護工場,職業訓練、就業輔導,身心障礙,,syinluwk@ms74.hinet.net,22900905,新北市,王微雅
台北縣慈芳庇護工場,職業訓練、就業輔導、權益倡導,身心障礙,http://www.tpmra.org.tw,tsufang520@seed.net.tw,82621305-6(通訊：27652947.27652948）,新北市,許碧容
台北縣政府委託屏東基督教勝利之家辦理台北縣慈泰庇護工場,就業輔導,身心障礙,,agnesb8081@hotmail.com,(02)22990671,新北市,黃薔樺
台北縣政府委託財團法人中華啟能基金會辦理三峽潛能發展中心,職業訓練、就業輔導、收容安置、日間照顧、安養服務、權益倡導、志願服務、專業訓練,,http://www.spris.org.tw,Spris.@ms37.hinet.net,26740623,新北市,鄒佩珮
台北縣政府委託財團法人天主教光仁社會福利基金會辦理聖心兒童發展中心,早期療育、托育服務、安親課輔、親職教育,家庭、兒童、身心障礙,,WE3Q4U@yahoo.com.tw,(02)29828424,新北市,郭寶彩
台北縣政府委託財團法人天主教耕莘醫院辦理台北縣愛德養護中心,社會教育、推廣教育、收容安置,社區居民、身心障礙,,aiwei73@ms64.hinet.net,02-26195787*15,新北市,卓慧菱
台北縣政府委託財團法人天主教耕莘醫院辦理台北縣愛維養護中心,社會教育、推廣教育、收容安置、托育服務、康樂休閒,社區居民、身心障礙,,aiwei73@yahoo.com.tw,02-86304104,新北市,卓慧菱
台北縣政府委託財團法人屏東勝利之家辦理台北縣慈育庇護工場,職業訓練、就業輔導,身心障礙,,vh5@pchome.com.tw,(02)22990671,新北市,李安琪
